FOUND FILE | C:/Users/Nepal/Downloads/Aayara_Shrestha_Front_Desk_Officer_CV.pdf | 56762B
FOUND FILE | C:/Users/Nepal/Downloads/DarbarTech_Programmable_Certificate_System_Documentation/out/aayara-reference-test.pdf | 3098375B
FOUND FILE | C:/Users/Nepal/Downloads/testing.pdf | 2064049B
FOUND FILE | C:/Users/Nepal/Downloads/TESTING1.pdf | 3098400B
FOUND FILE | C:/Users/Nepal/Downloads/testing2.pdf | 3098405B
FOUND FILE | C:/Users/Nepal/Desktop/DarbarTech/Student/Certificate of Aayara final.pdf | 12720620B
FOUND FILE | C:/Users/Nepal/Desktop/DarbarTech/Student/Certificate of Aayara.pdf | 12714163B
FOUND FILE | C:/Users/Nepal/Desktop/DarbarTech/Student/Certificate of Aayara final.pdf | 12720620B
FOUND FILE | C:/Users/Nepal/Desktop/DarbarTech/Student/Certificate of Aayara.pdf | 12714163B
FOUND FILE | C:/Users/Nepal/Desktop/DarbarTech/Student/Certificate of Aayara final.pdf | 12720620B
FOUND FILE | C:/Users/Nepal/Desktop/DarbarTech/Student/Certificate of Aayara.pdf | 12714163B
